날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,기관합계,전체
2021-01-08,-339990950,-26967100,-43986450,-6561650,0,0,942183750,-16796550,-1706095850,1126962550,71252250,507881050,0
2021-01-11,-890635900,-127315000,-730471050,-2757550,0,0,-337624350,-178138300,2275150950,-18768550,10559750,-2266942150,0
2021-01-12,33929300,-79706600,1384780450,0,0,0,-70134900,700738250,-3477283250,1519140950,-11464200,1969606500,0
2021-01-13,-403911300,-37488100,-215435550,77836250,0,-41611150,1542868900,4806220100,-6811602700,1091778550,-8655000,5728479150,0
2021-01-14,33517300,131755800,374241750,422500850,0,0,759294000,-2595231700,451808350,395020000,27093650,-873922000,0
2021-01-15,-567310650,-157715150,-402716400,477022600,0,0,766038500,6225900800,-3889919100,-2133207600,-318093000,6341219700,0
2021-01-18,875770600,-413385900,-750419100,-182095650,0,0,-3495727300,-4336244250,8371798200,-52532200,-17164400,-8302101600,0
2021-01-19,373877700,-46450400,-697493350,-76910250,0,0,-1064934100,5037288800,-3891989700,354768050,11843250,3525378400,0
2021-01-20,752509850,-57939700,-127968900,102521700,0,0,113382300,-3412813650,1819948650,798721200,11638550,-2630308400,0
2021-01-21,-534470900,-183914950,-780695450,5167100,0,0,-1098541450,-48819300,2727520450,-113995650,27750150,-2641274950,0
2021-01-22,-402336700,15283450,1289987150,1523947700,0,0,1925389050,4702668750,-9109565500,86797350,-32171250,9054939400,0
2021-01-25,1720235650,-35355150,660019650,516443800,0,-42259750,310047600,-3566486900,-1839762350,2019161150,257956300,-437355100,0
2021-01-26,-1895612000,-4531100,-273724650,-351856650,0,-8181750,-41500050,-5486906250,9756326850,-1825529500,131515100,-8062312450,0
2021-01-27,-870104350,-29721850,-257995350,-16102750,0,0,-4690000,3910377000,-1719566050,-898229750,-113966900,2731762700,0
2021-01-28,-535020000,-31651400,-460745300,-43773450,0,-19044300,-4479450,4806449050,-2565954650,-1166085150,20304650,3711735150,0
2021-01-29,322197950,234769450,-546404850,162897900,0,-25379250,139678100,2323087100,494413900,-3096220100,-9040200,2610846400,0
2021-02-01,872704000,-1246050,2222950,-4849600,0,0,4064900,384578300,239650650,-1526885650,29760500,1257474500,0
2021-02-02,213802400,-300507100,-242653600,-660062500,0,-26481900,-867792800,177990500,2974756750,-1265425800,-3625950,-1705705000,0
2021-02-03,411649050,-28682600,-7987150,414610950,0,0,-442450650,2567175500,1432321850,-4318844400,-27792550,2914315100,0
2021-02-04,-393829150,-4742050,-104440400,161787650,0,0,-27885200,6207335000,-2850254450,-2996057100,8085700,5838225850,0
2021-02-05,-213025600,-18226550,137426300,160542950,0,0,-69030000,6345110300,-2126814200,-4206180500,-9802700,6342797400,0
2021-02-08,1622531450,16345100,943505000,166089200,0,0,-27586200,1782544300,-716545950,-3760532800,-26350100,4503428850,0
2021-02-09,-1195127550,-1305000,-282020650,76652400,0,0,-616766500,3987118200,4646830350,-6631118600,15737350,1968550900,0
2021-02-10,-317614250,5933800,-275564350,-285263600,0,0,-631508000,4473823100,786138000,-3803856000,47911300,2969806700,0
2021-02-15,576465650,-35839050,-152041950,1014706650,-183081400,0,-483306200,3368555250,-2425596300,-1728718150,48855500,4105458950,0
2021-02-16,742112900,262224550,-45857800,-23280400,0,0,58204650,592389350,-1997858200,417626300,-5561350,1585793250,0
2021-02-17,424835700,-1335000,-446905250,-58358050,0,0,-3244250,-104798650,1412484900,-1236478350,13798950,-189805500,0
2021-02-18,238353850,277655250,-1636323800,76617900,0,0,46412950,1828806000,-581974800,-238408500,-11138850,831522150,0
2021-02-19,-401330050,-644774350,-731233900,-15750,0,0,-62419150,-9162995900,10441691450,502295200,58782450,-11002769100,0
2021-02-22,154592150,-1543200,42386900,653143800,0,0,-229444650,-3584530400,812181200,2105891350,47322850,-2965395400,0
2021-02-23,5073766300,381130000,175863600,5960014850,0,0,133890250,-5951491150,-22816015400,17237008800,-194167250,5773173850,0
2021-02-24,4054909200,715197350,1161326500,354944150,233875350,15681300,-1073113250,-1645516450,-1361531000,-2404073200,-51699950,3817304150,0
2021-02-25,306023250,344130500,-218318400,195194600,27396100,0,-18990350,1445598250,2747841600,-4829174050,298500,2081033950,0
2021-02-26,-522827850,27229700,97733150,732487150,35005100,18217850,1341336550,-7460852050,6759287600,-1008552750,-19064450,-5731670400,0
2021-03-02,123961450,163924350,399919250,-247800,-142472250,0,621581200,6765443400,-4932235650,-3019499800,19625850,7932109600,0
2021-03-03,181409750,-29711450,881760450,4023900,10033700,0,126053350,-815770250,-971329400,642220450,-28690500,357799450,0
2021-03-04,-488719100,1478149800,3768241500,208780750,99587300,0,1953336250,5954917100,-14458247950,1492723050,-8768700,12974293600,0
2021-03-05,188086850,193494500,-244981700,-54924350,4954450,0,140922200,2993893200,-2667370350,-567345100,13270300,3221445150,0
2021-03-08,-1377256950,-91883700,125571100,-1775857550,8509050,0,305513600,2592193100,1145362100,-945033300,12882550,-213211350,0
2021-03-09,157822850,7277050,575852150,560414700,225132350,20076000,215480700,-2035069200,-1775954500,2040295350,8672550,-273013400,0
2021-03-10,-311142050,-358728400,-75242300,273923050,-34254300,-72478550,-642537550,1287880600,468237950,-539215200,3556750,67420500,0
2021-03-11,-2691714600,-12983800,908257000,1054912000,0,0,-785008550,3263734350,-2912180950,1189914300,-14929750,1737196400,0
2021-03-12,200223400,-210654400,-379582150,-441037050,2494500,-21211950,-443583600,1783653400,-436973800,-53749900,421550,490302150,0
2021-03-15,604944500,-33825850,271957900,69333900,0,0,-103939050,-3220265350,2158275000,240447950,13071000,-2411793950,0
2021-03-16,780203200,320995700,1336590300,-170424900,108060650,0,309718150,-4014719400,-775120450,2152519500,-47822750,-1329576300,0
2021-03-17,-2275142300,299619600,-346924550,-1775709500,0,0,173576450,819059250,3410765750,-322098000,16853300,-3105521050,0
2021-03-18,-2807581350,-62133400,-63826250,-1222238850,0,0,163616450,-4201493950,7700861500,425047800,67748050,-8193657350,0
2021-03-19,-550710350,416895450,-351142600,-764492700,0,36776250,-230253650,538035550,1710926800,-831195050,25160300,-904892050,0
2021-03-22,141725450,316228700,-124317450,-319870200,36567100,27875100,59064500,6410506300,-5558626600,-979076200,-10076700,6547779500,0
2021-03-23,-193992800,357425300,309014850,-169948500,0,31249800,39280300,373492700,256913050,-1002298550,-1136150,746521650,0
2021-03-24,103495350,206205850,-28942350,-21836250,0,18072400,334320600,2243967600,-2397860550,-470933000,13510350,2855283200,0
2021-03-25,-406022650,208729000,-108427550,58165950,0,18252600,408179650,2905320900,-2362144400,-425735050,-296318450,3084197900,0
2021-03-26,-24835600,-136117050,-319446650,-123275600,0,-8663000,-286847050,-5288347500,6992446500,-847902400,42988350,-6187532450,0
2021-03-29,-380148700,-472232650,-647529150,-355970750,-17327450,0,-67566950,555280600,2796258500,-1406440700,-4322750,-1385495050,0
2021-03-30,441619850,-548880550,48821150,-45640750,0,18399250,-207112500,-12262600050,14843177800,-3358831550,1071047350,-12555393600,0
2021-03-31,-124357150,-508393050,-416749500,0,0,0,-750131500,179647950,4032419700,-2431651950,19215500,-1619983250,0
2021-04-01,601956450,745935900,947425150,72856650,160800300,0,4163750,-1230694050,267185350,-1578376700,8747200,1302444150,0
2021-04-02,-794051350,163756100,-604419250,-2357133400,41737300,-3734700,-969946700,-6097894000,11746391850,-1194233900,69528050,-10621686000,0
2021-04-05,29262150,-29924400,-326326250,-42182800,-165290900,0,-170700800,-117198100,970856150,-142996450,-5498600,-822361100,0
2021-04-06,350339350,21789450,-87338400,-320084950,0,0,41462400,268835900,-332959050,30340050,27615250,275003750,0
2021-04-07,-164183800,297090550,-41232200,176522850,-13720750,0,-951045650,185544550,1131017750,-627989500,7996200,-511024450,0
2021-04-08,168755400,-172971350,-294475600,-33103400,0,-5676050,-214239550,5453553050,-3384542550,-510756800,-1006543150,4901842500,0
2021-04-09,-671378250,-83608300,-187167900,-83500000,-76520200,-12643750,-483558900,1021986350,1452474650,-911214750,35131050,-576390950,0
2021-04-12,-486590800,-266797000,-1312369600,-646033650,-56738350,-31008650,147271900,1272645500,1685572100,-373148450,67197000,-1379620650,0
2021-04-13,-207074900,-25994200,-521781750,-9516650,0,0,27625450,1794302000,-725372650,-326457050,-5730250,1057559950,0
2021-04-14,-582708700,-1013550,-700230500,-836914700,-239726150,0,-292924950,-4058064850,6981740000,-294152750,23996150,-6711583400,0
2021-04-15,-313813900,-231295000,-219000200,-4590300,0,0,-381175600,-7633052300,8626878550,66980550,89068200,-8782927300,0
2021-04-16,-199382300,-311134900,109927900,-15713950,0,-1730350,-146341900,-1422504600,1903691800,26988250,56200050,-1986880100,0
2021-04-19,-160521250,-394785750,-546438150,0,0,-8159500,-681302550,11104550,2378529850,-610325000,11897800,-1780102650,0
2021-04-20,180460750,299926600,-89764050,-15279550,0,-1829400,-75046050,9204050,-1221960950,905714600,8574000,307672350,0
2021-04-21,-904643450,-639250,-228456950,-13164300,103625550,0,8822150,488362100,1730598100,-1120506700,-63997250,-546094150,0
2021-04-22,-137606500,310364900,185467500,0,0,-10147500,-366523200,870443950,-668379800,-191459100,7839750,851999150,0
2021-04-23,-385750200,174627800,-431088650,-566292700,104306450,-36640150,-119624900,3168599350,-1727094500,-132079900,-48962600,1908137000,0
2021-04-26,681853350,276787850,960558950,-62808500,52776600,0,-248532500,2334806950,-4590811750,600398900,-5029850,3995442700,0
2021-04-27,157890450,32435100,-239920850,963957750,0,0,-241257300,2677690000,-2087303150,-1282487750,18995750,3350795150,0
2021-04-28,2250712150,510106650,-82987050,499600,0,0,-943323250,2361644500,-2949113750,-1151884150,4345300,4096652600,0
2021-04-29,1808561850,-18309550,708195400,2948634100,0,152144750,1113273150,2952049000,-11172232300,1538521350,-30837750,9664548700,0
2021-04-30,1409730950,-1819207800,674055350,11713886750,-564960350,88805750,976392350,-2419046650,-11550545250,1681337850,-190448950,10059656350,0
2021-05-03,-305710700,-498670350,-3652050,-40932500,-148489500,0,633256550,11863043050,-5465536800,-6000469200,-32838500,11498844500,0
2021-05-04,1214493350,681654100,794729900,-470842000,66063250,17631800,2768449150,3730898600,-1280786250,-7485291350,-37000550,8803078150,0
