날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,전체,기관합계
2020-12-16,19802,-43,-14971,30623,0,0,-34866,22303,-177,-21554,-1117,0,22848
2020-12-17,-18693,-18,-34916,-392,-4114,0,-14391,926,99377,-30007,2228,0,-71598
2020-12-18,2630,22394,-3211,3508,0,0,-38282,5,-36160,49547,-431,0,-12956
2020-12-21,7748,-233,-20299,-95,0,0,-531,-35995,14182,35754,-531,0,-49405
2020-12-22,-60899,-5026,-17305,-71,0,0,-21520,8144,120537,-25556,1696,0,-96677
2020-12-23,-10981,-51013,-87063,0,0,0,-120753,2299,154145,115407,-2041,0,-267511
2020-12-24,91177,-332,7518,-4,0,0,-11295,3015,-166357,79554,-3276,0,90079
2020-12-28,182993,2028,-61789,-4000,5985,0,-28370,-2200,-59654,-33204,-1789,0,94647
2020-12-29,-48300,3872,19164,-1206,0,4050,-3535,5322,-31373,36431,15575,0,-20633
2020-12-30,6927,-1162,11418,-357,0,1006,-16079,676,-60961,61477,-2945,0,2429
2021-01-04,-65986,-20499,-5783,-3367,0,0,1375,2668,109664,-19947,1875,0,-91592
2021-01-05,-53302,-26041,3650,-226,0,0,-7123,1806,91910,-12595,1921,0,-81236
2021-01-06,118107,-12113,51267,-250,0,0,-4753,-6407,-224733,79166,-284,0,145851
2021-01-07,-103074,-4153,-27147,-402,0,0,-10268,0,228565,-83612,91,0,-145044
2021-01-08,-22043,-1747,-2857,-430,0,0,60555,-1115,-109835,72794,4678,0,32363
2021-01-11,-59270,-8349,-47858,-181,0,0,-21871,-11581,149374,-1008,744,0,-149110
2021-01-12,1346,-5150,87498,0,0,0,-4703,44385,-218408,95762,-730,0,123376
2021-01-13,-25344,-2377,-13754,4811,0,-2631,96139,298099,-421901,67502,-544,0,354943
2021-01-14,1532,7646,21993,24985,0,0,45786,-155591,28677,23498,1474,0,-53649
2021-01-15,-34062,-9498,-24171,28290,0,0,45989,373018,-232356,-127936,-19274,0,379566
2021-01-18,55540,-25244,-46166,-10852,0,0,-222053,-304854,553241,1407,-1019,0,-553629
2021-01-19,23546,-2947,-44110,-4893,0,0,-67542,315379,-243087,22900,754,0,219433
2021-01-20,47545,-3676,-8144,6484,0,0,7159,-217215,116459,50653,735,0,-167847
2021-01-21,-33477,-11503,-48968,322,0,0,-68970,-3052,171067,-7156,1737,0,-165648
2021-01-22,-25112,897,78045,92105,0,0,116731,284177,-549377,4444,-1910,0,546843
2021-01-25,99045,-2285,38146,29773,0,-2468,17778,-209192,-102556,116644,15115,0,-29203
2021-01-26,-114688,-271,-16523,-21378,0,-495,-2509,-330101,587445,-109397,7917,0,-485965
2021-01-27,-52798,-1828,-15784,-989,0,0,-280,236221,-102199,-55399,-6944,0,164542
2021-01-28,-32811,-1953,-28324,-2701,0,-1174,-276,293928,-156313,-71628,1252,0,226689
2021-01-29,21032,14690,-34355,10317,0,-1582,8888,147362,29034,-194843,-543,0,166352
2021-02-01,55524,-79,133,-309,0,0,253,24333,15220,-96971,1896,0,79855
2021-02-02,13222,-19001,-15392,-41960,0,-1674,-54801,11290,188022,-79479,-227,0,-108316
2021-02-03,25634,-1805,-504,26087,0,0,-27930,161292,90402,-271426,-1750,0,182774
2021-02-04,-24529,-298,-6548,10057,0,0,-1746,385155,-176057,-186564,530,0,362091
2021-02-05,-13392,-1131,8513,9988,0,0,-4318,392614,-130124,-261541,-609,0,392274
2021-02-08,97525,976,56589,9972,0,0,-1656,107114,-42182,-226737,-1601,0,270520
2021-02-09,-74107,-81,-17395,4769,0,0,-38047,245499,285753,-407361,970,0,120638
2021-02-10,-19890,369,-17212,-17808,0,0,-39381,277932,50205,-237207,2992,0,184010
2021-02-15,35315,-2197,-9409,61953,-11229,0,-29640,206420,-148222,-105983,2992,0,251213
2021-02-16,45300,16014,-2827,-1430,0,0,3416,36406,-122055,25518,-342,0,96879
2021-02-17,26104,-83,-27773,-3613,0,0,-201,-6434,87416,-76273,857,0,-12000
2021-02-18,14703,17169,-101759,4745,0,0,2865,113414,-35283,-15163,-691,0,51137
2021-02-19,-25203,-41296,-46960,-1,0,0,-3998,-585708,666873,32567,3726,0,-703166
2021-02-22,9391,-97,2640,40823,0,0,-14368,-225348,52445,131525,2989,0,-186959
2021-02-23,301534,22209,7050,351794,0,0,7681,-356416,-1347491,1025279,-11640,0,333852
2021-02-24,227353,41093,65173,20279,13272,882,-62766,-94170,-73136,-134921,-3059,0,211116
2021-02-25,17654,19787,-13214,11213,1595,0,-1098,80475,162776,-279219,31,0,116412
2021-02-26,-30594,1575,5525,42336,2016,1047,77596,-433478,393189,-58108,-1104,0,-333977
2021-03-02,6355,9328,22772,-39,-8134,0,35378,385197,-278611,-173388,1142,0,450857
2021-03-03,10171,-1715,49312,224,566,0,7081,-47189,-52857,36024,-1617,0,18450
2021-03-04,-27750,79859,202875,11250,5413,0,104988,320429,-777445,80849,-468,0,697064
2021-03-05,9907,10457,-13784,-3020,268,0,7612,161983,-143369,-30775,721,0,173423
2021-03-08,-76308,-5159,6908,-99019,468,0,17125,143589,63525,-51855,726,0,-12396
2021-03-09,8629,401,31883,30895,12459,1116,11969,-112392,-98838,113389,489,0,-15040
2021-03-10,-17471,-20235,-4125,15276,-1932,-4092,-36263,72297,26569,-30226,202,0,3455
2021-03-11,-152264,-731,50594,58604,0,0,-44493,183874,-162274,67547,-857,0,95584
2021-03-12,11171,-11772,-21198,-24733,139,-1185,-24776,99426,-23859,-3236,23,0,27072
2021-03-15,33395,-1876,14983,3841,0,0,-5786,-178594,119811,13501,725,0,-134037
2021-03-16,41960,17449,72302,-9323,5807,0,16832,-218974,-40326,116929,-2656,0,-73947
2021-03-17,-125831,16581,-19331,-98483,0,0,9575,45037,189273,-17758,937,0,-172452
2021-03-18,-156244,-3504,-3480,-67032,0,0,9226,-239628,432701,24195,3766,0,-460662
2021-03-19,-31102,23652,-19955,-43431,0,2086,-13124,30418,96864,-46835,1427,0,-51456
2021-03-22,7952,17770,-7096,-18084,2042,1566,3059,360138,-310942,-55846,-559,0,367347
2021-03-23,-10808,19907,17312,-9518,0,1740,2092,20667,14527,-55856,-63,0,41392
2021-03-24,6063,11720,-1660,-1247,0,1027,19000,127055,-136176,-26558,776,0,161958
2021-03-25,-22931,11690,-6152,3251,0,1022,22895,162836,-131717,-24294,-16600,0,172611
2021-03-26,-1452,-7849,-18359,-6994,0,-504,-16487,-303750,400938,-48012,2469,0,-355395
2021-03-29,-22254,-27737,-38041,-20913,-1018,0,-3973,32599,163785,-82194,-254,0,-81337
2021-03-30,26306,-33050,2895,-2716,0,1097,-12516,-734179,888033,-199753,63883,0,-752163
2021-03-31,-7554,-30454,-25005,0,0,0,-44925,10780,241479,-145470,1149,0,-97158
2021-04-01,35512,43976,55849,4296,9481,0,237,-72727,16236,-93369,509,0,76624
2021-04-02,-47604,9748,-36407,-141744,2482,-224,-58210,-365620,704161,-70746,4164,0,-637579
2021-04-05,1698,-1799,-19638,-2537,-9942,0,-10262,-7028,58425,-8582,-335,0,-49508
2021-04-06,20688,1173,-5499,-19186,0,0,2438,15893,-18934,1780,1647,0,15507
2021-04-07,-9696,17481,-2450,10393,-810,0,-56209,10920,66920,-37027,478,0,-30371
2021-04-08,9870,-10258,-17462,-1972,0,-336,-12686,322384,-199862,-30152,-59526,0,289540
2021-04-09,-40009,-4973,-11173,-5000,-4565,-755,-28844,60929,86525,-54232,2097,0,-34390
2021-04-12,-29526,-16173,-79788,-39305,-3445,-1880,8859,77350,102405,-22573,4076,0,-83908
2021-04-13,-12528,-1562,-31377,-572,0,0,1601,107620,-43310,-19529,-343,0,63182
2021-04-14,-35510,-62,-42586,-51006,-14659,0,-17778,-247974,425998,-17883,1460,0,-409575
2021-04-15,-19374,-14343,-13611,-286,0,0,-23573,-474307,535596,4365,5533,0,-545494
2021-04-16,-12364,-19255,6764,-973,0,-107,-9051,-87961,117822,1646,3479,0,-122947
2021-04-19,-9916,-24253,-33664,0,0,-503,-41931,687,146457,-37616,739,0,-109580
2021-04-20,10766,18123,-5424,-917,0,-110,-4513,546,-73667,54679,517,0,18471
2021-04-21,-54917,-39,-14023,-802,6307,0,532,29729,105362,-68273,-3876,0,-33213
2021-04-22,-8369,18720,11195,0,0,-615,-22264,52762,-40212,-11694,477,0,51429
2021-04-23,-23521,10608,-26358,-34735,6336,-2233,-7286,192298,-104196,-7926,-2987,0,115109
2021-04-26,40187,16350,56614,-3713,3117,0,-14683,137837,-271044,35579,-244,0,235709
2021-04-27,9162,1906,-14079,56502,0,0,-14160,156821,-122074,-75198,1120,0,196152
2021-04-28,130665,29848,-4923,0,0,0,-55587,138043,-170155,-68146,255,0,238046
2021-04-29,102596,-1033,39951,166815,0,8667,62672,168136,-632924,86877,-1757,0,547804
2021-04-30,76413,-100118,36277,639531,-31093,4868,53417,-130375,-629333,90791,-10378,0,548920
